TransactionID;AccountID;TransactionType;Amount;Date
TX57958892;ACC835071;Deposit;2936,98;30-05-25
TX89763471;ACC835071;Deposit;2214,97;10-04-25
TX16369300;ACC835071;Transfer;1561,51;05-09-25
TX13814402;ACC835071;Withdrawal;796,51;22-02-25
TX19448369;ACC835071;Transfer;1552,79;28-01-25
TX82799727;ACC835071;Payment;809,26;14-07-25
TX93981318;ACC835071;Investment;1651,07;02-06-25
TX60553330;ACC835071;Payment;2905,77;24-01-25
TX74559940;ACC835071;Withdrawal;520,47;30-03-25
TX81253575;ACC623300;Payment;895,39;20-06-25
TX53276780;ACC623300;Transfer;1799,14;23-08-25
TX59464438;ACC623300;Deposit;280,83;28-12-24
TX96374134;ACC623300;Payment;805,87;29-01-25
TX70361901;ACC623300;Investment;2112,86;04-07-25
TX73528573;ACC623300;Payment;756,42;22-02-25
TX23164873;ACC623300;Payment;1354,81;28-11-24
TX32714440;ACC623300;Investment;1831,97;27-03-25
TX96989723;ACC623300;Withdrawal;1579,64;17-09-25
TX31029609;ACC623300;Withdrawal;1795,02;11-09-25
TX42190647;ACC623300;Withdrawal;355,61;22-02-25
TX17452802;ACC623300;Investment;1838,71;04-01-25
TX53731062;ACC623300;Investment;2210,92;28-09-25
TX74993102;ACC623300;Transfer;25,01;12-03-25
TX20515744;ACC623300;Transfer;1764,82;09-08-25
TX62723545;ACC623300;Transfer;1123,8;04-02-25
TX13851914;ACC623300;Deposit;1884,32;18-01-25
TX92687449;ACC623300;Transfer;1750,86;14-01-25
TX87961285;ACC623300;Deposit;1628,26;24-08-25
TX99478577;ACC623300;Withdrawal;2872,96;03-09-25
TX48438213;ACC623300;Transfer;2520,21;01-08-25
TX92579096;ACC623300;Investment;2219,53;26-02-25
TX76368933;ACC623300;Deposit;2931,14;23-06-25
TX45837192;ACC623300;Investment;1496,63;05-02-25
TX82513216;ACC433844;Withdrawal;2670,72;09-12-24
TX73316193;ACC433844;Transfer;2744,07;17-02-25
TX23434542;ACC433844;Deposit;2452,67;03-09-25
TX80647949;ACC433844;Deposit;1317,96;12-03-25
TX12458246;ACC433844;Transfer;691,37;03-10-25
TX45350783;ACC433844;Transfer;1914,88;29-05-25
TX48812405;ACC433844;Payment;2104,1;31-05-25
TX91665583;ACC433844;Investment;1963,71;15-03-25
TX31909399;ACC433844;Withdrawal;2633,02;29-09-25
TX97406085;ACC433844;Withdrawal;93,36;04-04-25
TX88973531;ACC433844;Payment;647,15;07-09-25
TX67858671;ACC433844;Investment;236,05;29-01-25
TX88081514;ACC433844;Payment;192,27;15-09-25
TX20390092;ACC433844;Payment;1277,19;01-01-25
TX83211903;ACC433844;Payment;1822,16;19-12-24
TX79261442;ACC433844;Payment;1786,44;13-08-25
TX54183381;ACC433844;Withdrawal;2854,71;30-06-25
TX85198956;ACC433844;Transfer;2655,47;11-07-25
TX63186751;ACC433844;Investment;2469,84;31-12-24
TX62476296;ACC433844;Withdrawal;1635,04;25-05-25
TX83712372;ACC433844;Investment;1195,36;22-11-24
TX38606837;ACC433844;Withdrawal;2229,93;16-08-25
TX85724047;ACC433844;Transfer;1566,74;20-05-25
TX66650128;ACC433844;Withdrawal;2313,37;20-04-25
TX19689905;ACC433844;Deposit;2762,7;31-07-25
TX37800109;ACC433844;Withdrawal;1617,3;04-02-25
